# InSAR Time Series Data
# Source CRS,EPSG:32643
# Projected X,494265.49783549784
# Projected Y,2973530.909090909
# Latitude,26.883479234320816
# Longitude,74.94226076582952
# Raster Row,252
# Raster Col,487

Date,Displacement_m
20200107,0.20219213
20200119,0.19590093
20200131,0.20025603
20200212,0.19751777
20200224,0.20119105
20200307,0.19753861
20200319,0.19217461
20200331,0.19390415
20200412,0.19747002
20200424,0.18875496
20200518,0.1879423
20200530,0.19338275
20200611,0.17996164
20200623,0.18665017
20200705,0.1857828
20200717,0.18513265
20200729,0.17297791
20200810,0.1832978
20200822,0.17786396
20200903,0.17975599
20200915,0.17434765
20200927,0.18133526
20201009,0.18025427
20201021,0.17938374
20201102,0.17828886
20201114,0.1756852
20201126,0.17379285
20201208,0.16890699
20201220,0.16787371
20210101,0.17089067
20210113,0.16944852
20210125,0.16468795
20210206,0.16630328
20210218,0.16036946
20210302,0.16585244
20210314,0.16155075
20210326,0.16108444
20210407,0.1603314
20210419,0.15847792
20210501,0.15826291
20210513,0.15758231
20210525,0.15377481
20210606,0.15528837
20210618,0.14988579
20210630,0.16280118
20210712,0.15411848
20210724,0.15164652
20210805,0.14425078
20210817,0.15464535
20210829,0.14244384
20210910,0.15137541
20210922,0.15440312
20211004,0.14420152
20211016,0.14199388
20211028,0.14086306
20211109,0.13480145
20211121,0.13636523
20211203,0.13675922
20211215,0.12974119
20211227,0.1286574
20220108,0.13806073
20220120,0.12868012
20220201,0.1309855
20220213,0.12569964
20220225,0.13101876
20220309,0.12848637
20220321,0.11886089
20220402,0.12102202
20220426,0.12404097
20220508,0.12101981
20220520,0.12335675
20220601,0.11920829
20220613,0.11205892
20220625,0.11234427
20220707,0.106558934
20220719,0.107258916
20220731,0.109860994
20220812,0.10166847
20220905,0.10023219
20220917,0.10131557
20220929,0.09440284
20221011,0.09497787
20221023,0.09485156
20221104,0.09514667
20221116,0.09029074
20221128,0.090281196
20221210,0.09097295
20221222,0.09153219
20230103,0.08354164
20230127,0.08803
20230208,0.08851965
20230220,0.076759055
20230328,0.08335111
20230409,0.07455066
20230421,0.07243675
20230503,0.07625952
20230515,0.07074073
20230527,0.06872706
20230608,0.068940565
20230620,0.06321739
20230702,0.065697014
20230714,0.09345638
20230726,0.069600955
20230807,0.06725779
20230819,0.06538783
20230831,0.0657001
20230912,0.07352613
20230924,0.059118107
20231006,0.05783218
20231018,0.060275137
20231030,0.061548516
20231111,0.069681376
20231123,0.05572687
20231205,0.050473765
20231217,0.05441208
20231229,0.0541351
20240110,0.052990377
20240122,0.052951634
20240203,0.050690576
20240215,0.048801526
20240310,0.049018353
20240322,0.04771401
20240403,0.044115573
20240427,0.046197027
20240509,0.04065238
20240521,0.04054612
20240602,0.035017565
20240614,0.032735646
20240626,0.034333423
20240708,0.030774355
20240720,0.031556964
20240801,0.02970402
20240813,0.030364305
20240825,0.025984406
20240906,0.027121335
20240918,0.027647093
20240930,0.023642778
20241105,0.03043209
20241117,0.021119237
20241129,0.015018657
20241211,0.010780662
20241223,0.0147853345
20250104,0.016774416
20250116,0.009104967
20250128,0.0073314756
20250209,0.012467042
20250221,0.008233115
20250305,0.0073220134
20250317,0.021343231
20250329,0.003718391
20250410,0.0045481175
20250422,0.0064950436
20250504,-0.011379048
20250516,0.0008600354
20250528,0.0
20250609,-0.006643966
20250621,-0.006352082
20250703,-0.01442416
20250715,-0.012926444
20250727,-0.015191987
20250808,-0.021058396
20250820,-0.018598467
20250901,-0.023637384
20250913,-0.016086772
20250925,-0.011445776
20251007,-0.027828053
20251019,-0.026700497
20251031,-0.025973007
20251112,-0.030185133
20251124,-0.026954904
20251206,-0.027963161
20251218,-0.029607594
